contract_id,effective_start_date,effective_end_date,version_id,contract_name,mg_beginning_balance,pp_beginning_balance,mg_original_paid,licensor_name,created_timestamp,created_by,updated_timestamp,updated_by
14,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,1,SNK 40th Anniversary Collection,57382.79,0,600000,SNK Corporation,2023-03-17T18:27:48.000Z,Nisa Retool,2023-06-03T17:48:08.000Z,Nisa Retool
15,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,1,SNK Heroines Tag Team Frenzy,1063112.29,0,2000000,SNK Corporation,2023-03-17T18:27:48.000Z,Nisa Retool,2023-06-03T17:48:17.000Z,Nisa Retool
76,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Danganronpa Trilogy,0,0,0,"Spike Chunsoft Co., Ltd.",2023-03-17T18:27:49.000Z,Yosuke Akutsu,2023-03-20T20:38:12.000Z,Yosuke Akutsu
77,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Grand Kingdom,0,0,0,"Spike Chunsoft Co., Ltd.",2023-03-17T18:27:49.000Z,Yosuke Akutsu,2023-03-20T20:38:13.000Z,Yosuke Akutsu
112,2022-07-01T00:00:00.000Z,2020-12-31T00:00:00.000Z,2,Danganronpa AE,7301.6,0,0,"Spike Chunsoft Co., Ltd.",2023-03-30T23:36:18.000Z,Nisa Retool,2023-12-22T23:33:46.000Z,Nisa Retool
131,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Danganronpa Reload,0,0,0,"Spike Chunsoft Co., Ltd.",2023-05-31T17:13:35.000Z,Nisa Retool,2023-05-31T17:13:35.000Z,Nisa Retool
45,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Fallen Legion,0,0,0,"YummyYummyTummy, Inc.",2023-03-17T18:27:49.000Z,Yosuke Akutsu,2023-03-20T20:37:55.000Z,Yosuke Akutsu
46,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Fallen Legion Revenants,0,0,0,"YummyYummyTummy, Inc.",2023-03-17T18:27:50.000Z,Yosuke Akutsu,2023-03-20T20:37:55.000Z,Yosuke Akutsu
121,2022-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Fallen Legion PS5/XB1,70000,0,70000,"YummyYummyTummy, Inc.",2023-05-11T17:50:04.000Z,Nisa Retool,2023-05-11T17:50:04.000Z,Nisa Retool
90,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Touhou Kobuto V Burst Battle (NSW),0,0,50000,"Sienna Co., Ltd. aka Cubetype",2023-03-20T21:17:31.000Z,Yosuke Akutsu,2023-03-20T21:17:31.000Z,Yosuke Akutsu
91,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Touhou Kobuto V Burst Battle (PS4 &PSV),0,0,50000,"Sienna Co., Ltd. aka Cubetype",2023-03-20T21:18:35.000Z,Yosuke Akutsu,2023-03-20T21:18:35.000Z,Yosuke Akutsu
